StudentID,Age,Classe,HoursTotal_L1,Genre,Zone,Pretest,Final,Pretest_i,Final_i
1,12.0,T5,60,M,3,2,5,2,5
2,10.0,T5,60,M,3,3,4,3,4
3,8.0,T5,60,M,3,5,4,5,4
4,9.0,T5,60,M,3,3,5,3,5
5,9.0,T5,60,M,3,1,5,1,5
6,9.0,T5,60,M,3,4,4,4,4
7,8.0,T5,60,M,3,3,5,3,5
8,13.0,T5,60,M,3,2,5,2,5
9,12.0,T5,60,M,3,4,5,4,5
10,10.0,T5,60,M,3,4,4,4,4
11,12.0,T5,60,M,3,3,5,3,5
12,9.0,T5,60,M,3,2,5,2,5
13,9.0,T5,60,M,3,4,5,4,5
14,13.0,T5,60,M,3,3,5,3,5
15,10.0,T5,60,M,3,2,5,2,5
16,9.0,T5,60,M,3,3,5,3,5
17,9.0,T5,60,M,3,5,5,5,5
18,9.0,T5,60,M,3,3,5,3,5
19,10.0,T5,60,M,3,2,5,2,5
20,11.0,T5,60,M,3,4,5,4,5
21,13.0,T5,60,M,3,3,5,3,5
22,10.0,T5,60,M,3,2,5,2,5
23,8.0,T5,60,M,3,3,5,3,5
24,8.0,T5,60,M,3,4,5,4,5
25,11.0,T5,60,M,3,3,5,3,5
26,9.0,T5,60,M,3,2,5,2,5
27,9.0,T5,60,F,3,3,5,3,5
28,10.0,T5,60,F,3,4,5,4,5
29,9.0,T5,60,F,3,3,5,3,5
30,9.0,T5,60,F,3,5,5,5,5
31,8.0,T5,60,F,3,3,5,3,5
32,10.0,T5,60,F,3,3,5,3,5
33,8.0,T5,60,F,3,4,5,4,5
34,10.0,T5,60,F,3,2,4,2,4
35,8.0,T5,60,F,3,3,5,3,5
36,8.0,T5,60,F,3,3,4,3,4
37,9.0,T5,60,F,3,2,5,2,5
38,9.0,T5,60,F,3,4,4,4,4
39,9.0,T5,60,F,3,3,5,3,5
40,10.0,T5,60,F,3,4,5,4,5
41,8.0,T5,60,F,3,4,5,4,5
42,9.0,T5,60,F,3,2,5,2,5
43,9.0,T5,60,F,3,3,5,3,5
44,9.0,T5,60,F,3,4,5,4,5
45,10.0,T5,60,F,3,3,5,3,5
46,10.0,T5,60,F,3,2,4,2,4
47,10.0,T5,60,F,3,4,5,4,5
48,10.0,T5,60,F,3,3,5,3,5
49,9.0,T5,60,F,3,2,5,2,5
50,11.0,T5,60,F,3,4,5,4,5
51,12.0,T4,60,M,3,3,5,3,5
52,11.0,T4,60,M,3,3,5,3,5
53,11.0,T4,60,M,3,3,5,3,5
54,11.0,T4,60,M,3,4,5,4,5
55,12.0,T4,60,M,3,3,4,3,4
56,13.0,T4,60,M,3,4,5,4,5
57,12.0,T4,60,M,3,5,5,5,5
58,11.0,T4,60,M,3,5,5,5,5
59,12.0,T4,60,M,3,5,5,5,5
60,12.0,T4,60,M,3,5,5,5,5
61,13.0,T4,60,M,3,3,5,3,5
62,10.0,T4,60,M,3,5,4,5,4
63,11.0,T4,60,M,3,3,5,3,5
64,11.0,T4,60,M,3,3,5,3,5
65,12.0,T4,60,M,3,3,5,3,5
66,13.0,T4,60,M,3,5,5,5,5
67,12.0,T4,60,M,3,5,5,5,5
68,13.0,T4,60,M,3,4,5,4,5
69,11.0,T4,60,M,3,3,5,3,5
70,13.0,T4,60,M,3,5,5,5,5
71,10.0,T4,60,M,3,5,5,5,5
72,11.0,T4,60,M,3,4,4,4,4
73,10.0,T4,60,M,3,4,5,4,5
74,11.0,T4,60,M,3,5,5,5,5
75,10.0,T4,60,M,3,5,5,5,5
76,11.0,T4,60,M,3,5,5,5,5
77,13.0,T4,60,M,3,4,5,4,5
78,12.0,T4,60,M,3,2,5,2,5
79,11.0,T4,60,M,3,5,5,5,5
80,10.0,T4,60,F,3,5,5,5,5
81,11.0,T4,60,F,3,4,5,4,5
82,11.0,T4,60,F,3,5,5,5,5
83,9.0,T4,60,F,3,4,5,4,5
84,9.0,T4,60,F,3,3,5,3,5
85,12.0,T4,60,F,3,4,5,4,5
86,8.0,T4,60,F,3,5,5,5,5
87,12.0,T4,60,F,3,5,5,5,5
88,12.0,T4,60,F,3,4,5,4,5
89,10.0,T4,60,F,3,5,5,5,5
90,13.0,T4,60,F,3,3,5,3,5
91,13.0,T4,60,F,3,4,5,4,5
92,11.0,T4,60,F,3,3,5,3,5
93,13.0,T4,60,F,3,4,5,4,5
94,10.0,T4,60,F,3,5,4,5,4
95,11.0,T4,60,F,3,5,5,5,5
96,11.0,T4,60,F,3,5,5,5,5
97,10.0,T4,60,F,3,5,5,5,5
98,13.0,T4,60,F,3,5,5,5,5
99,11.0,T4,60,F,3,5,5,5,5
100,11.0,T4,60,F,3,2,5,2,5
101,9.0,T4,60,F,3,5,5,5,5
102,12.0,T4,60,F,3,5,5,5,5
103,10.0,T4,60,F,3,5,5,5,5
104,12.0,T4,60,F,3,3,5,3,5
105,11.0,T4,60,F,3,3,5,3,5
106,11.0,T4,60,F,3,5,4,5,4
107,11.0,T4,60,F,3,5,5,5,5
108,13.0,T4,60,F,3,5,5,5,5
109,10.0,T4,60,F,3,5,5,5,5
110,12.0,T4,60,F,3,5,5,5,5
