Week,Day,Block,Sequence,Issues
1,1,Deb,"[""Lecture du Tableau de nombres"", ""Activité avec bâtonnets et paquet"", ""Gymn aux nombres"", ""Exercices d’opérations""]",
1,1,Deuxchiffres,"[""Lecture du Tableau de nombres"", ""Activité avec bâtonnets et paquet"", ""Gymn aux nombres"", ""Exercices d’opérations""]",
1,1,TroisA,"[""Lecture du Tableau de nombres"", ""Activité avec bâtonnets et paquet"", ""Saut aux nombres"", ""Exercices d’opérations""]",
1,1,TroisB,"[""Concept de la Multiplication"", ""Multiplication par échelle"", ""Lecture de la Table de multiplication"", ""Exercices d'opérations""]",
1,1,Unchiffe,"[""Lecture du Tableau de nombres"", ""Activité avec bâtonnets et paquet"", ""Gymn aux nombres"", ""Exercices d’opérations""]",
1,2,Deb,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,2,Deuxchiffres,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,2,TroisA,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,2,TroisB,"[""Lecture de la Table de multiplication"", ""Opération de base avec problèmes de multiplication"", ""Roue des nombres"", ""Exercices d'opérations""]",
1,2,Unchiffe,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,3,Deb,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,3,Deuxchiffres,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
1,3,TroisA,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
1,3,TroisB,"[""Lecture de la Table de multiplication"", ""Multiplication par échelle"", ""Opération de base avec problèmes de multiplication"", ""Exercices d'opérations""]",
1,3,Unchiffe,"[""Lecture du Tableau de nombres"", ""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Exercices d’opérations""]",
1,4,Deb,"[""Lecture du Tableau de nombres"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
1,4,Deuxchiffres,"[""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Roue des nombres"", ""Exercices d’opérations""]",
1,4,TroisA,"[""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Roue des nombres"", ""Exercices d’opérations""]",
1,4,TroisB,"[""Lecture de la Table de multiplication"", ""Opération de base avec problèmes de multiplication"", ""Roue des nombres"", ""Exercices d'opérations""]",
1,4,Unchiffe,"[""Lecture du Tableau de nombres"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
1,5,Deb,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
1,5,Deuxchiffres,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmesde soustraction"", ""Tape les mains et claque les doigts"", ""Exercices d’opérations""]",
1,5,TroisA,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Saut aux nombres"", ""Exercices d’opérations""]",
1,5,TroisB,"[""Lecture de la Table de multiplication"", ""Concept de la Division"", ""Opération de base avec problèmes de Division"", ""Exercices d'opérations""]",
1,5,Unchiffe,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
2,6,Deb,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
2,6,Deuxchiffres,"[""Opération de base avec problèmesde soustraction"", ""Mind map soustraction"", ""Saut aux nombres"", ""Exercices d’opérations""]",
2,6,TroisA,"[""Opération de base avec problèmes de soustraction"", ""Mind map soustraction"", ""Saut aux nombres"", ""Exercices d’opérations""]",
2,6,TroisB,"[""Lecture de la Table de multiplication"", ""Opération de base avec problèmes de Division"", ""Roue des nombres"", ""Exercices d'opérations""]",
2,6,Unchiffe,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
2,7,Deb,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
2,7,Deuxchiffres,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmesde soustraction"", ""Mind map soustraction"", ""Exercices d’opérations""]",
2,7,TroisA,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Mind map soustraction"", ""Exercices d’opérations""]",
2,7,TroisB,"[""Lecture de la Table de multiplication"", ""Opération de base avec problèmes de Division"", ""Roue des nombres"", ""Exercices d'opérations""]",
2,7,Unchiffe,"[""Lecture du Tableau de nombres"", ""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Exercices d’opérations""]",
2,8,Deb,"[""Lecture du Tableau de nombres"", ""Opération de base avec problèmes de soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,8,Deuxchiffres,"[""Opération de base avec problèmesde soustraction"", ""Mind map soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",multi_pos3|executed_count=5
2,8,TroisA,"[""Opération de base avec problèmes de soustraction"", ""Mind map soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",multi_pos3|executed_count=5
2,8,TroisB,"[""Lecture de la Table de multiplication"", ""Multiplication par échelle"", ""Opération de base avec problèmes de multiplication"", ""Exercices d'opérations""]",
2,8,Unchiffe,"[""Lecture du Tableau de nombres"", ""Opération de base avec problèmes de soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,9,Deb,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,9,Deuxchiffres,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,9,TroisA,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,9,TroisB,"[""Lecture de la Table de multiplication"", ""Concept de la Division"", ""Opération de base avec problèmes de Division"", ""Exercices d'opérations""]",
2,9,Unchiffe,"[""Lecture de la Table d’addition"", ""Opération de base avec problèmes d'addition"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,10,Deb,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",
2,10,Deuxchiffres,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmesde soustraction"", ""Mind map soustraction"", ""Exercices d’opérations""]",
2,10,TroisA,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Mind map soustraction"", ""Exercices d’opérations""]",
2,10,TroisB,"[""Lecture de la Table de multiplication"", ""Concept de la Division"", ""Roue des nombres"", ""Exercices d'opérations""]",
2,10,Unchiffe,"[""Lecture de la Table de soustraction"", ""Opération de base avec problèmes de soustraction"", ""Mind map Addition"", ""Exercices d’opérations""]",
