Week,Day,Block,Issues,act_1:Lecture du Tableau de nombres,act_2:Activité avec bâtonnets et paquet,act_3:Lecture de la Table d’addition,act_4:Opération de base avec problèmes d'addition,act_5:Mind map Addition,act_6:Lecture de la Table de soustraction,act_7:Opération de base avec problèmes de soustraction,act_8:Gymn aux nombres,act_9:Saut aux nombres,act_10:Exercices d’opérations,act_7:Opération de base avec problèmesde soustraction,act_8:Mind map soustraction,act_9:Gymn aux nombres,act_10:Saut aux nombres,act_11:Tape les mains et claque les doigts,act_12:Roue des nombres,act_13:Exercices d’opérations,act_10:Roue des nombres,act_11:Exercices d’opérations,act_1:Concept de la Multiplication,act_2:Multiplication par échelle,act_3:Lecture de la Table de multiplication,act_4:Opération de base avec problèmes de multiplication,act_5:Concept de la Division,act_6:Opération de base avec problèmes de Division,act_7:Roue des nombres,act_8:Exercices d'opérations
1,1,Deb,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,1,Deuxchiffres,,1.0,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,3.0,0.0,0.0,0.0,4.0,,,,,,,,,,
1,1,TroisA,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,3.0,,,0.0,,,,,,0.0,4.0,,,,,,,,
1,1,TroisB,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0
1,1,Unchiffe,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,2,Deb,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,2,Deuxchiffres,,1.0,0.0,2.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,
1,2,TroisA,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,4.0,,,,,,,,
1,2,TroisB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0
1,2,Unchiffe,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,3,Deb,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,3,Deuxchiffres,,0.0,0.0,1.0,2.0,3.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,
1,3,TroisA,,0.0,0.0,1.0,2.0,3.0,0.0,0.0,,0.0,,,0.0,,,,,,0.0,4.0,,,,,,,,
1,3,TroisB,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0
1,3,Unchiffe,,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,4,Deb,,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,4,Deuxchiffres,,0.0,0.0,0.0,1.0,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,,,,,,,,,
1,4,TroisA,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,0.0,,,0.0,,,,,,3.0,4.0,,,,,,,,
1,4,TroisB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0
1,4,Unchiffe,,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,5,Deb,,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
1,5,Deuxchiffres,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2.0,0.0,0.0,0.0,3.0,0.0,4.0,,,,,,,,,,
1,5,TroisA,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,3.0,,,0.0,,,,,,0.0,4.0,,,,,,,,
1,5,TroisB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0
1,5,Unchiffe,,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,
