Day,StartLevel,TargetLevel,Technique,ByModel,Mode,LevelUsedForDecision,Action,L1_day_used,ActivityVector10,Activities10_Order,pos1,pos2,pos3,pos4,HoursPerDay,CumHoursIfCompleted
1,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,1,"[1, 0, 0, 2, 0, 0, 3, 0, 0, 4]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct1_Lv1,GenAct4_Lv1,GenAct7_Lv1,GenAct10_Lv1,2.0,2.0
2,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,2,"[2, 4, 0, 0, 1, 0, 0, 3, 0, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct5_Lv1,GenAct1_Lv1,GenAct8_Lv1,GenAct2_Lv1,2.0,4.0
3,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,3,"[0, 3, 2, 0, 0, 4, 0, 0, 1, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct9_Lv1,GenAct3_Lv1,GenAct2_Lv1,GenAct6_Lv1,2.0,6.0
4,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,4,"[0, 0, 2, 3, 0, 0, 1, 0, 0, 4]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct7_Lv1,GenAct3_Lv1,GenAct4_Lv1,GenAct10_Lv1,2.0,8.0
5,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,5,"[4, 0, 0, 3, 2, 0, 0, 1, 0, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct8_Lv1,GenAct5_Lv1,GenAct4_Lv1,GenAct1_Lv1,2.0,10.0
6,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,6,"[0, 2, 0, 0, 1, 4, 0, 0, 3, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct5_Lv1,GenAct2_Lv1,GenAct9_Lv1,GenAct6_Lv1,2.0,12.0
7,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,7,"[0, 0, 2, 0, 0, 4, 1, 0, 0, 3]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct7_Lv1,GenAct3_Lv1,GenAct10_Lv1,GenAct6_Lv1,2.0,14.0
8,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,8,"[4, 0, 0, 1, 0, 0, 2, 3, 0, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct4_Lv1,GenAct7_Lv1,GenAct8_Lv1,GenAct1_Lv1,2.0,16.0
9,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,9,"[0, 4, 0, 0, 2, 0, 0, 3, 1, 0]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct9_Lv1,GenAct5_Lv1,GenAct8_Lv1,GenAct2_Lv1,2.0,18.0
10,1,5,Baseline MDP (fully observed),PolicyTimeOptimal,most_likely,1,B,10,"[0, 0, 3, 0, 0, 4, 0, 0, 1, 2]","[""GenAct1_Lv1"", ""GenAct2_Lv1"", ""GenAct3_Lv1"", ""GenAct4_Lv1"", ""GenAct5_Lv1"", ""GenAct6_Lv1"", ""GenAct7_Lv1"", ""GenAct8_Lv1"", ""GenAct9_Lv1"", ""GenAct10_Lv1""]",GenAct9_Lv1,GenAct10_Lv1,GenAct3_Lv1,GenAct6_Lv1,2.0,20.0
